file_name,TP,FP,FN,precision,recall,f1_score,detail_type,field_name,incorrect_value,judgment,reason
10.1016j.apsusc.2018.07.197.json,71,2,1,0.9726,0.9861,0.9793,Incorrect_Field,Absorption Peak,655 nm,FP,原文指出，655 nm 的吸收峰是 MoS2/并五苯异质结的特征，而不是单独的单层 MoS2 的特征。
10.1016j.apsusc.2018.07.197.json,71,2,1,0.9726,0.9861,0.9793,Missing_Field,Performance Comparison for Al-device,,FN,提取的 JSON 指出 Al-device 的性能优于基于并五苯的肖特基光电二极管以及基于 MoS2 的光电二极管，但遗漏了原文中提到的关键信息，即其性能也“超过了最近报道的大多数有机光电二极管”。
10.1016j.apsusc.2018.07.197.json,71,2,1,0.9726,0.9861,0.9793,Incorrect_Field,Specific Detectivity (D*),1.55 × 10¹³ Jones at Vd = -15 V and Pint = 28.18 mW/cm²,FP,原文指出，Au-device 的 D* 是在光强度为 0.015 mW/cm² 下测量的，而不是 JSON 中所述的 28.18 mW/cm²（后者是用于测量 PDR 的光强度）。
10.1021acs.nanolett.1c02074.json,33,2,2,0.9429,0.9429,0.9429,Incorrect_Field,Power dependence of two-photon emission,"Slope of 3.7 at low fluences, increases to 2 at higher fluences",FP,原始文本指出，斜率从低泵浦通量下的 3.7 *变化*（或减小）到较高泵浦通量下的 2，而不是增加到 2。
10.1021acs.nanolett.1c02074.json,33,2,2,0.9429,0.9429,0.9429,Incorrect_Field,Full wave half-maximum (fwhm) for four-photon emission,Decreased compared to two- and three-photon cases,FP,原始文本指出，通过降低折射率对比度，fwhm *可以*被减小，这是一个假设性的改进，而不是一个被观察到的结果。
10.1021acs.nanolett.1c02074.json,33,2,2,0.9429,0.9429,0.9429,Missing_Field,Quantitative comparison of one-photon and two-photon emission intensities,,FN,文本提供了关键的量化数据点，表明双光子发射强度从在低泵浦通量下约为单光子发射强度的 1/60 增加到在 79 μJ/cm² 下约为 60%，这对于展示其变得“可比较”的核心发现至关重要。
10.1021acs.nanolett.1c02074.json,33,2,2,0.9429,0.9429,0.9429,Missing_Field,Mechanism of absorption length transformation,,FN,文本解释了一个核心机制，即共振将吸收长度从薄膜厚度转变为波导模式中的传播长度，这是增强效果的关键部分，但在 JSON 中被遗漏了。
10.1016j.mssp.2018.01.024.json,154,6,10,0.9625,0.939,0.9506,Incorrect_Field,physical_form,Square lattice of cylindrical pillars,FP,原始文本描述了SiO2光子晶体结构，并提到了孔径，表明这是一个孔洞阵列，而不是圆柱形支柱阵列。
10.1016j.mssp.2018.01.024.json,154,6,10,0.9625,0.939,0.9506,Incorrect_Field,Forward Voltage at 1 mA,2.75 V,FP,原始文本没有提供带有SiO2光子晶体的紫外LED在1mA注入电流下的正向电压值。
10.1016j.mssp.2018.01.024.json,154,6,10,0.9625,0.939,0.9506,Incorrect_Field,Forward Voltage at 1 mA,2.33 V,FP,原始文本没有提供带有SiO2光子晶体的蓝色LED在1mA注入电流下的正向电压值。
10.1016j.mssp.2018.01.024.json,154,6,10,0.9625,0.939,0.9506,Incorrect_Field,Forward Voltage at 1 mA,1.85 V,FP,原始文本没有提供带有SiO2光子晶体的绿色LED在1mA注入电流下的正向电压值。
10.1016j.mssp.2018.01.024.json,154,6,10,0.9625,0.939,0.9506,Incorrect_Field,Peak Wavelength Movement at 1 mA,11.3 nm blueshift,FP,原始文本指出，11.3 nm的蓝移是当注入电流从1mA变化到20mA时发生的，而不是在1mA时发生的移动。
10.1016j.mssp.2018.01.024.json,154,6,10,0.9625,0.939,0.9506,Incorrect_Field,Peak Wavelength Movement at 20 mA,11.3 nm blueshift,FP,原始文本指出，11.3 nm的蓝移是当注入电流从1mA变化到20mA时发生的，而不是在20mA时发生的移动。
10.1016j.mssp.2018.01.024.json,154,6,10,0.9625,0.939,0.9506,Missing_Field,Forward Voltage Reduction,,FN,原始文本明确指出，由于引入了SiO2光子晶体，紫外、蓝色和绿色LED在20mA时的正向电压分别降低了0.19 V、0.15 V和0.14 V，这是一个关键的电学性能改善结果，但在提取内容中被忽略了。
10.1016j.mssp.2018.01.024.json,154,6,10,0.9625,0.939,0.9506,Missing_Field,Mechanisms of LOP Enhancement,,FN,原始文本详细解释了光输出功率增强的三个主要机制（光子带隙、布拉格衍射和漫散射），这是理解核心发现的关键解释，但在提取内容中被忽略了。
