file_name,TP,FP,FN,precision,recall,f1_score,detail_type,field_name,incorrect_value,judgment,reason
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Incorrect_Field,Sidewall width,250 nm,FP,原始文本指出，侧壁宽度 (t3) 为 20 nm，而 250 nm 是底层 PMMA-Al 光栅层中金属 Al 的宽度 (t2)。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Incorrect_Field,Sidewall thickness,30 nm,FP,原始文本指出，侧壁厚度 (h3) 为 110 nm，而 30 nm 是 Al 薄膜的厚度 (h2)。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Incorrect_Field,Negative Reflection (NR) Efficiency,> 150,FP,原始文本指出，'NR_TM/NR_TE=150' 是一个消光比，而不是 TM 光的负反射效率。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Incorrect_Field,Reflection (R) Efficiency,> 30,FP,原始文本指出，'R_TE/R_TM=30' 是一个消光比，而不是 TE 光的反射效率。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Incorrect_Field,Working wavelength range,Entire visible light range,FP,原始文本描述的全息图实验是在 532 nm 的单波长下进行的，并未证明其在整个可见光范围内工作。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Incorrect_Field,Incident angle range,Wide range (specific value not provided),FP,原始文本描述的全息图实验是在 75° 的特定入射角下进行的，并未提供其工作角度范围的数据。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Incorrect_Field,Sidewall width,"Variable (250 nm for PBS-1, approximately 30 nm for PBS-2, variable for hologram)",FP,原始文本指出，PBS-1 的侧壁宽度 (t3) 是 20 nm，而不是 250 nm。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Incorrect_Field,measurement_method,Simulation with Finite Difference Time Domain (FDTD) method,FP,原始文本指出，色散曲线是 '根据波导理论计算' 得出的，并给出了基于周期波导理论的方程，并未明确说明是使用 FDTD 方法模拟的。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Missing_Field,Core physical mechanism,,FN,原始文本的核心发现是，该器件的 'TE-金属类/TM-介电类特性' 可以用 '周期性金属-绝缘体-金属波导的布洛赫理论' 来解释，这一关键物理解释在提取内容中被遗漏。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Missing_Field,Definition of Negative Reflection (NR),,FN,原始文本明确定义了 '负反射（NR）' 是指 '反射到负一级衍射级'，这个关键术语的定义在提取内容中被遗漏。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Missing_Field,Role of Fabry-Perot (F-P) resonance,,FN,原始文本指出，利用 '两个金属薄膜之间的破坏性法布里-珀罗（F-P）共振来抑制TM反射' 是实现高消光比的关键机制，这一重要信息在提取内容中被遗漏。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Missing_Field,Design guidelines for the metasurface,,FN,原始文本在讨论部分提出了三个明确的设计指南（狭缝宽度决定下限、光栅间距决定上限、狭缝高度用于 F-P 共振），这些是指导实际应用的核心结论，但在提取内容中被遗漏。
10.1038srep06491-0.json,44,8,5,0.8462,0.898,0.8713,Missing_Field,Specific beam splitting function,,FN,原始文本明确指出该器件作为偏振光束分离器的具体功能是 '对横磁（TM）光产生强烈的负反射，而对横电（TE）光产生高效的反射'，这一核心功能的描述在提取内容中不够具体。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Incorrect_Field,Pressure coefficient of conduction band edge,25100 meV/GPa,FP,原文指出III-V族半导体导带边的典型压力系数范围为 ~25-100 meV/GPa，并为该结构计算出特定值为 82 meV/GPa。值 25100 meV/GPa 在事实上是错误的。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Incorrect_Field,Activation Energy for Non-Radiative Recombination,17 meV,FP,原文将 17 meV 的值报告为 2 GPa 时的电子限制能，而非非辐射复合的激活能。测得的激活能为 90 ± 30 meV（0 GPa）和 25 ± 4 meV（1.71 GPa）。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Missing_Field,T2SL advantages over HgCdTe,,FN,原文列出了 T2SL 相对 HgCdTe 的几个关键优势（例如，带隙对成分不均匀性的依赖性降低、波长可调性、更低的暗电流），这些是研究的重要背景，但在提取内容中被忽略了。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Missing_Field,Long carrier lifetimes of InAs/InAsSb T2SLs,,FN,原文强调了 InAs/InAsSb T2SLs 的长载流子寿命（长波红外 > 400 ns，中波红外 10 µs）作为研究的关键动机，这一信息在提取内容中缺失了。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Missing_Field,Sample growth method and substrate,,FN,原文明确指出样品是通过分子束外延在 n 型 GaSb (100) 衬底上生长的，这是关键的实验细节，但在提取内容中被遗漏了。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Missing_Field,Photoluminescence experimental conditions,,FN,原文指明了 PL 实验的温度（10 K）和激光源（100 mW 1064 nm ND:YVO₄），这些是关键的实验参数，但在提取内容中被忽略了。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Missing_Field,Magnitude of PL intensity increase,,FN,原文提到 PL 强度增加了“超过两个数量级”，这是一个关键的量化细节，而不仅仅是“增加”。提取内容中缺少了这一重要信息。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Missing_Field,Power law exponents for recombination analysis,,FN,原文提供了具体的功率依赖性指数值（0 GPa 时为 0.91，1.87 GPa 时为 1.94），这些是证明复合机制从辐射型转变为非辐射型的关键定量证据，但在提取内容中缺失了。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Missing_Field,Measured activation energies,,FN,原文通过阿伦尼乌斯分析报告了测得的激活能（0 GPa 时为 90 ± 30 meV，1.71 GPa 时为 25 ± 4 meV），这些是支持关于能带移动和缺陷能级结论的关键数据，但在提取内容中被忽略了。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Missing_Field,Direction of valence band edge pressure shift,,FN,原文指出价带边缘“以 -11 meV/GPa 的速率向下移动”，而提取内容只记录了大小（11 meV/GPa），遗漏了方向这个关键信息。
10.10631.4919549-28.json,17,2,9,0.8947,0.6538,0.7556,Missing_Field,Implication of findings on carrier lifetime,,FN,原文得出的主要结论是，这些发现解释了为什么无镓 T2SL 具有长得多的少数载流子寿命，这是研究的核心意义，但在提取内容中被遗漏了。
10.10631.5048894-19.json,21,1,2,0.9545,0.913,0.9333,Incorrect_Field,Peak Adjacent Channel Crosstalk,-40.253,FP,原始文本指出相邻信道串扰 (AX) 是 35.696 dB。值 -40.253 dB 对应的是背景串扰 (BX)，而不是相邻信道串扰。
10.10631.5048894-19.json,21,1,2,0.9545,0.913,0.9333,Missing_Field,Design2 Transmission Characteristics,,FN,文本在图 6 中为 Design2 提供了光谱响应（传输特性），但 JSON 中遗漏了这一关键仿真结果。
